Designator,Qty,Value,Package,Description,MPN / Note,LCSC Part #
U2,1,RP2354B,QFN-80,"MCU — ROM emulator, bus monitor, output controller",Raspberry Pi RP2354B,
U1,1,AP2112K-3.3,SOT-23-5,"LDO 600mA, 3.3V fixed output",Diodes AP2112K-3.3TRG1,
"U3, U4, U5, U6",4,74LVC245,SOIC-20,"Octal bus transceiver, 5V tolerant, 3.3V VCC",TI SN74LVC245ADWR or equiv,
L1,1,"3.3µH, Abracon AOTA-B201610S3R3-101-T",0806 (2016 metric),SMPS inductor — polarity dot CRITICAL; use this exact part,Abracon AOTA-B201610S3R3-101-T,
D1,1,BAT54C,SOT-23,"Dual Schottky, common cathode — power OR circuit","Nexperia BAT54C,215",
"D2, D3, D4",3,BZX84-C3V3,SOT-23,"3.3V Zener — ADC input overvoltage clamp. [SPIN-2: replace with PESD3V3L1BA SOT-23, see KNOWN_RISKS L7]","Nexperia BZX84-C3V3,235 or equiv",
Q1,1,2N7002,SOT-23,N-MOSFET — MSX /RESET drive,"Nexperia 2N7002,235 or equiv",
Y1,1,12MHz crystal,3225 SMD,Crystal — USB and PIO timing; ABM8-272-T3 recommended,Abracon ABM8-272-T3 (recommended) or equiv 12MHz 10pF 50Ω ESR,
"R20, R22",2,27Ω,0603 5%,USB DP/DM series termination — place close to MCU,,
"R3, R14, R24",3,33Ω,0603 5%,2N7002 gate damper (R3) + VREG_AVDD filter (R14) + ADC_AVDD filter (R24),,
"R4, R23",2,330Ω,0603 5%,"LED current limiter (R4), /WAIT series protection (R23)",,
"R9, R15, R18, R19, R21",5,1kΩ,0603 5%,"BOOTSEL isolation, crystal XOUT damping, ADC series protection",,
"R1, R2",2,10kΩ,0603 5%,RUN pin pull-up (R1) + 74LVC245 /OE pull-up (R2),,
"R5, R6",2,4.7kΩ,0603 5%,I2C SDA + SCL pull-ups,,
"R7, R8",2,5.1kΩ,0603 5%,USB-C CC1 + CC2 pull-downs,,
"R10, R11, R13, R16",4,10kΩ,0603 1%,ADC voltage dividers (1% required for rail measurement accuracy),,
R12,1,33kΩ,0603 1%,+12V rail divider (high side),,
R17,1,82kΩ,0603 1%,−12V bridge divider (low side),,
"C4, C5",2,15pF C0G/NP0,0603,Crystal load caps — C0G/NP0 mandatory,,
C1,1,1µF X5R 6.3V,0603,LDO VIN bypass,,
C2,1,10µF X5R 6.3V,0603,LDO output bulk cap,,
C24,1,1µF X5R 6.3V,0402,ADC_AVDD filter cap,,
"C18, C19, C20",3,4.7µF X5R 6.3V,0402,"VREG: AVDD filter cap (C18), VIN bypass (C19), DVDD output (C20)",,
"C3, C6",2,100nF X7R 10V,0603,"Decoupling: LDO local (C3), reset RC (C6)",,
"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C21, C22, C23",13,100nF X7R 10V,0402,"MCU decoupling: IOVDD (×8, C7–C14), QSPI/USB (×2, C15–C16), DVDD (×3, C21–C23)",,
J3,1,GCT USB4085,mid-mount SMD,USB-C receptacle — firmware update + serial log,GCT USB4085-GF-A,
J4,1,SWD 3-pin header,1.27mm pitch SMD,SWD debug: SWDIO / SWDCLK / GND,,
J2,1,4-pin 2.54mm header,through-hole,"OLED mounting header (SDA, SCL, GND, 3.3V)",,
"SW1, SW2, SW3, SW4",4,6×6mm SMD tactile,SMD,"Buttons: RESET (SW1), UP (SW2), DOWN (SW3), SELECT (SW4)",C&K PTS645SK43SMTR92 LFS or equiv,
LED1,1,Green LED,0603,Firmware-driven status LED (GP38 via R4). Not a passive power indicator.,,
